GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US120110204114,120110204114,"Block Group 4, Census Tract 204.11, Broward County, Florida",62168,11198
1500000US120110204121,120110204121,"Block Group 1, Census Tract 204.12, Broward County, Florida",33051,6117
1500000US120110204131,120110204131,"Block Group 1, Census Tract 204.13, Broward County, Florida",46948,11281
1500000US120110204132,120110204132,"Block Group 2, Census Tract 204.13, Broward County, Florida",37390,10482
1500000US120110204133,120110204133,"Block Group 3, Census Tract 204.13, Broward County, Florida",51058,16803
1500000US120110204134,120110204134,"Block Group 4, Census Tract 204.13, Broward County, Florida",29583,3707
1500000US120110204141,120110204141,"Block Group 1, Census Tract 204.14, Broward County, Florida",47109,6908
1500000US120110204151,120110204151,"Block Group 1, Census Tract 204.15, Broward County, Florida",35439,6160
1500000US120110204152,120110204152,"Block Group 2, Census Tract 204.15, Broward County, Florida",63825,5926
1500000US120110205011,120110205011,"Block Group 1, Census Tract 205.01, Broward County, Florida",50400,10795
1500000US120110205012,120110205012,"Block Group 2, Census Tract 205.01, Broward County, Florida",57121,21320
1500000US120110205021,120110205021,"Block Group 1, Census Tract 205.02, Broward County, Florida",45787,9498
1500000US120110205022,120110205022,"Block Group 2, Census Tract 205.02, Broward County, Florida",69063,13683
1500000US120110205023,120110205023,"Block Group 3, Census Tract 205.02, Broward County, Florida",51875,29269
1500000US120110205024,120110205024,"Block Group 4, Census Tract 205.02, Broward County, Florida",57731,31581
1500000US120110301001,120110301001,"Block Group 1, Census Tract 301, Broward County, Florida",97112,29305
1500000US120110301002,120110301002,"Block Group 2, Census Tract 301, Broward County, Florida",86135,4422
1500000US120110301003,120110301003,"Block Group 3, Census Tract 301, Broward County, Florida",107644,51397
1500000US120110301004,120110301004,"Block Group 4, Census Tract 301, Broward County, Florida",85962,16321
1500000US120110302011,120110302011,"Block Group 1, Census Tract 302.01, Broward County, Florida",37396,17578
1500000US120110302012,120110302012,"Block Group 2, Census Tract 302.01, Broward County, Florida",31111,14283
1500000US120110302013,120110302013,"Block Group 3, Census Tract 302.01, Broward County, Florida",49079,23636
1500000US120110302014,120110302014,"Block Group 4, Census Tract 302.01, Broward County, Florida",37768,33009
1500000US120110302021,120110302021,"Block Group 1, Census Tract 302.02, Broward County, Florida",46845,9202
1500000US120110302031,120110302031,"Block Group 1, Census Tract 302.03, Broward County, Florida",50750,16024
1500000US120110302032,120110302032,"Block Group 2, Census Tract 302.03, Broward County, Florida",30769,14741
1500000US120110302033,120110302033,"Block Group 3, Census Tract 302.03, Broward County, Florida",46974,13829
1500000US120110302034,120110302034,"Block Group 4, Census Tract 302.03, Broward County, Florida",32462,6530
1500000US120110303011,120110303011,"Block Group 1, Census Tract 303.01, Broward County, Florida",27829,13896
1500000US120110303012,120110303012,"Block Group 2, Census Tract 303.01, Broward County, Florida",24205,8862
1500000US120110303021,120110303021,"Block Group 1, Census Tract 303.02, Broward County, Florida",14429,7776
1500000US120110303022,120110303022,"Block Group 2, Census Tract 303.02, Broward County, Florida",46979,31867
1500000US120110303023,120110303023,"Block Group 3, Census Tract 303.02, Broward County, Florida",32400,11332
1500000US120110303024,120110303024,"Block Group 4, Census Tract 303.02, Broward County, Florida",41891,2680
1500000US120110304011,120110304011,"Block Group 1, Census Tract 304.01, Broward County, Florida",35232,6664
1500000US120110304021,120110304021,"Block Group 1, Census Tract 304.02, Broward County, Florida",25179,10332
